"timeStamp","Exp0_OxygenTemp","Exp0_Oxygendphi","Exp0_OxygenpercentO2","Exp0_OxygensingelIntensity","Exp0_OxygenAmbientLight","Exp0_PhValue","Exp0_PresensO2value","Exp0_PH.calTemp","Exp0_PH.Ref.Amplitude","Exp0_PH.Amplitude","Exp0_PH.Phase.shift","Exp0_PH.calibration.Pressure","Exp0_Presens.02.Ref.Amp","Exp0_Presens.02.Amp","Exp0_Presens.02.Phase","Exp0_Presens.02.cal.Temp","Exp0_Presens.errorcode","Exp0_TempPump","Exp0_TempCamera","Exp1_OxygenTemp","Exp1_Oxygendphi","Exp1_OxygenpercentO2","Exp1_OxygensingelIntensity","Exp1_OxygenAmbientLight","Exp1_PhValue","Exp1_PresensO2value","Exp1_PH.calTemp","Exp1_PH.Ref.Amplitude","Exp1_PH.Amplitude","Exp1_PH.Phase.shift","Exp1_PH.calibration.Pressure","Exp1_Presens.02.Ref.Amp","Exp1_Presens.02.Amp","Exp1_Presens.02.Phase","Exp1_Presens.02.cal.Temp","Exp1_Presens.errorcode","Exp1_TempPump","Exp1_TempCamera","Temp_airHighPresision","Temp_Heater","Pressure_Electronics","Pressure_LateAccess","Imu_gyroX","Imu_gyroY","Imu_gyroZ","Imu_accelegrationX","Imu_accelegrationY","Imu_accelegrationZ","Imu_orientationX","Imu_orientationY","Imu_orientationZ","X36V.current","X36V.voltage","X12V.current","X12V.voltage","X5V.current","X5V.voltage","X3V.current","X3V.voltage","ssd.current","ssd.voltage","pump0.current","pump0.voltage","pump1.current","pump1.voltage","flowCellLed0.current","flowCellLed0.voltage","flowCellLed1.current","flowCellLed1.voltage"
1552067958,24518.1563946781,32143.5027244654,8107.72173171508,6545.81209536767,65116.4467511219,7506.62945831461,9159236.49319333,0,0,0,0,0,0,0,0,0,0,23602.3778928002,23681.0909197556,23856.0025794827,28652.1933535714,10996.5834310749,7463.93874160148,65345.9064838267,0,0,0,0,0,0,0,0,0,0,0,0,23608.5894955579,24287.4738536777,23004.8552447286,23752.3963450313,9487.29142761183,9685.54385410663,-1.09779765186103,8.61276025304743,-15.939222999012,250.427403716031,-198.30304275568,3664.94528840918,0,0,0,392.490176369443,29187.497615954,532.929635225276,12084.2835772033,382.808883685935,5073.30784643043,499.788654185039,3363.77408231973,100.924157392986,3347.15437850529,0,30.6177111056446,0,55.1588852578807,149.900358169012,49.2899194079876,289.257290195361,82.0044368880638
1552067963,24519.9793603666,32144.9014756385,8106.37185333487,6546.05199074476,65116.8177902831,7506.8004832762,9159235.7373755,0,0,0,0,0,0,0,0,0,0,23602.0927725489,23680.7170480709,23859.2448969592,28653.3500340245,10997.5559148027,7461.41382797931,65344.8749204601,0,0,0,0,0,0,0,0,0,0,0,0,23607.7133922698,24288.8669949671,23002.8612489312,23753.0876662825,9486.08985041002,9684.91677105782,-0.409871607659661,9.55975904539236,-16.2575962715608,251.012493729401,-196.639173301962,3664.34825585131,0,0,0,392.305716554247,29187.1200859479,531.264078696201,12083.9625086622,381.834401532552,5072.35882317994,500.817161619049,3363.10411433159,101.803754180549,3346.43931441953,0,32.3154892993962,0,55.3456872687817,149.110467289902,49.4545036919031,288.701838967395,79.4181698624245
1552067968,24518.5161991407,32146.646791345,8105.87905962158,6546.3016853268,65116.1306204568,7505.7228257542,9159236.70651345,0,0,0,0,0,0,0,0,0,0,23602.2346445317,23681.3359377596,23858.0040096267,28651.0936183941,10997.0474354933,7463.3518713122,65345.3934057456,0,0,0,0,0,0,0,0,0,0,0,0,23607.669844936,24286.0060336517,23004.8187810898,23752.4682709304,9483.58759030634,9684.8166560112,0.204714310190277,8.60407530845967,-19.5905624186713,249.865693545524,-198.163976117273,3666.06403516502,0,0,0,393.686523100784,29187.2967744841,531.497876571329,12086.2055771284,380.019124467955,5073.75368893724,500.658231192055,3364.11694255525,100.913455213096,3345.03803303481,0,32.1144791117578,0,55.2500751589896,150.332869657557,48.3680403638266,288.248000197115,79.1621665366207
1552067973,24518.6442149598,32144.0885450047,8106.74647262702,6544.70242520023,65115.4472183502,7504.19721307522,9159235.08311882,0,0,0,0,0,0,0,0,0,0,23601.8760328284,23682.5359986916,23858.7080766313,28651.4936801957,10996.444498953,7464.96069256385,65342.8396843638,0,0,0,0,0,0,0,0,0,0,0,0,23607.6737268007,24286.7620346398,23005.716398487,23751.4530085527,9487.07549299494,9688.15603039908,-0.6666467046679,6.95603015373252,-17.041086156411,253.728830210587,-197.477355099784,3663.95039972701,0,0,0,392.84137024603,29187.6597943485,530.396919236578,12085.7354831737,383.438275788598,5071.76085738626,502.228806075295,3364.23770215027,100.474511217098,3345.37745674469,0,31.1644699590462,0,56.1674093340859,150.815218188605,47.7551991144215,287.519292908081,81.5714018998497
1552067979,24522.1037944028,32144.7510048227,8105.40932820978,6545.48021807473,65115.8223902564,7505.8549938974,9159238.90407313,0,0,0,0,0,0,0,0,0,0,23603.0539304601,23680.3111568748,23856.9093212401,28653.4432543794,10997.2578235734,7461.69277695633,65345.005051351,0,0,0,0,0,0,0,0,0,0,0,0,23608.1945510402,24286.976045127,23003.7191209319,23751.0108009188,9486.82545124716,9686.87255212977,-1.46717044727369,7.8402928377159,-17.6004436198634,251.23551232825,-196.550695850521,3667.74327641051,0,0,0,392.140379477076,29186.628739391,531.204755975819,12084.3319919655,383.21942337524,5073.04374566988,500.600137107164,3363.1177586923,101.113256569642,3346.52199413232,0,31.0946238673648,0,55.0366146597653,149.370002378794,46.7017592938187,289.068154868892,81.3013452086903
1552067985,24521.4590582737,32143.1376318943,8106.94444169533,6545.01931096009,65116.6358407669,7507.4159740423,9159236.06700563,0,0,0,0,0,0,0,0,0,0,23603.9370896604,23681.6229592045,23856.8690897074,28653.3941807537,10996.5741234429,7463.81199079723,65343.4438914903,0,0,0,0,0,0,0,0,0,0,0,0,23607.6876420595,24289.1879270542,23004.5727283185,23751.4958440274,9484.75742433299,9688.22579411407,0.583876448541054,8.13708821725754,-16.8519808142183,249.982147550704,-199.880148290944,3665.83930782626,0,0,0,394.860762623277,29186.8614465009,530.161914909597,12084.6665667812,383.179538467377,5071.89644450535,500.326222720381,3363.26672012668,101.921877152998,3344.75663654489,0,31.4203829910403,0,55.2107536962621,149.458839835897,47.90890967167,288.416968926065,81.8269994604382
1552067990,24519.133830394,32142.6274123422,8106.67186033679,6546.1262199393,65115.6812511878,7504.87275005928,9159235.9809689,0,0,0,0,0,0,0,0,0,0,23604.1226967999,23679.8292928413,23857.6287255486,28652.1115913367,10997.4995366912,7465.08739166529,65345.6830216459,0,0,0,0,0,0,0,0,0,0,0,0,23605.4640481987,24288.8623399191,23003.6742455053,23751.1674219727,9484.95929854031,9687.74928644806,0.903138061882945,9.58862780664698,-18.1162706313453,251.747211437497,-199.878760065683,3664.35523806526,0,0,0,391.897494833106,29186.8909645445,530.697475540079,12085.7567873658,383.645687137912,5072.09453213822,502.204454551601,3363.66227157877,100.855482956978,3346.60323192141,0,32.9233966841471,0,53.3651584137698,147.454111117243,47.5592560107068,290.867307789758,82.256005201843
1552067996,24520.68870099,32144.8766404411,8105.91550089863,6543.88028097919,65113.8426569674,7506.25138418,9159238.04087736,0,0,0,0,0,0,0,0,0,0,23603.7178708429,23682.5550779635,23857.8993292223,28651.5351169384,10998.0713590958,7463.43338322472,65344.2473300897,0,0,0,0,0,0,0,0,0,0,0,0,23607.354949435,24286.5371745273,23003.4370754299,23749.62652747,9484.08496652097,9687.0108060431,-1.63103911127063,9.37331484453875,-17.2522918221784,250.789929664409,-197.54479600977,3664.11665347553,0,0,0,393.347106631167,29187.3055167881,531.672243007897,12084.437531707,382.545491773925,5073.07420817117,501.5230135992,3364.43188945803,101.65679723861,3346.75238922664,0,32.1316880582689,0,53.5186678076745,149.144592376195,48.0469213946136,289.937368813001,82.05840683153
1552068002,24519.8264004466,32144.877876439,8105.81081805215,6545.18694056653,65116.8152544684,7506.05504457614,9159236.62217706,0,0,0,0,0,0,0,0,0,0,23603.9340667776,23680.8821682482,23859.4969124275,28653.1249264558,10996.7430228563,7464.22750561858,65345.09130179,0,0,0,0,0,0,0,0,0,0,0,0,23605.3347641941,24287.3375648993,23002.7329068775,23751.7919540386,9484.7607171469,9687.53046016355,-1.51194519697478,8.37574612614616,-17.1241126631222,250.998243148141,-196.883567008827,3665.71936714667,0,0,0,393.161969917238,29188.0801897436,532.13491794525,12085.4110632891,379.241960996965,5073.51379679678,499.456187833098,3364.81309080804,100.988595827028,3347.32620617236,0,31.2936848567876,0,55.1286263736371,148.249082921246,50.2449884816715,289.461231944233,80.4351758259976
1552068008,24520.9311922525,32145.4201826191,8107.91138544849,6546.4927019358,65116.5674155698,7507.40291644235,9159237.63197668,0,0,0,0,0,0,0,0,0,0,23602.1049252119,23680.7587915931,23857.4940965581,28651.1475896156,10999.1097235432,7463.9041997767,65344.3236812367,0,0,0,0,0,0,0,0,0,0,0,0,23608.0452165053,24287.647329867,23004.1406264074,23751.745052512,9485.82237885556,9687.6827323749,-0.728685557976148,10.0908403899003,-16.3618273875925,251.633196874721,-196.957405037692,3664.92131666941,0,0,0,394.406010411787,29188.5729426158,532.475142550851,12084.1323170851,382.731460793685,5072.07904377753,501.414566255292,3362.46289957404,100.402279632937,3345.71777916918,0,32.055565768022,0,54.7110292107007,151.536928423481,48.8277389664156,288.67641919467,81.1507126588149
