timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552123250,21423,32425,8084,13996,65072,7031,2336660,0,0,0,0,0,0,0,0,0,0,20625,20750,17020,53473,4294966942,56360,65112,0,0,0,0,0,0,0,0,0,0,0,0,21125,19937,17307,21500,9443,9413,-29,-37,-43,-3902,-18,-534,0,0,0,360,29375,483,12015,363,5016,409,3307,50,3296,0,1,0,2,95,6,232,17
1552123255,21444,32438,8073,14024,65172,7031,2341434,0,0,0,0,0,0,0,0,0,0,20625,20750,17033,53478,4294966941,56156,65096,0,0,0,0,0,0,0,0,0,0,0,0,21125,20000,17296,21500,9441,9413,-28,-25,-42,-3920,-36,-528,0,0,0,360,29383,483,12016,515,5016,409,3306,50,3296,0,0,0,1,95,6,232,17
1552123260,21454,32462,8055,14056,65020,7030,2346129,0,0,0,0,0,0,0,0,0,0,20687,20750,17033,53479,4294966941,56148,65161,0,0,0,0,0,0,0,0,0,0,0,0,21125,20000,17339,21562,9443,9413,-30,-25,-42,-3892,-12,-531,0,0,0,360,29376,483,12016,424,5013,409,3307,50,3296,0,0,0,1,95,6,232,16
1552123265,21483,32464,8052,13988,65215,7030,2354244,0,0,0,0,0,0,0,0,0,0,20687,20812,17049,53467,4294966943,56064,65198,0,0,0,0,0,0,0,0,0,0,0,0,21125,20000,17339,21562,9441,9414,-37,-29,-42,-3905,-11,-543,0,0,0,320,32731,483,12015,424,5017,409,3306,50,3296,0,1,0,1,95,7,232,17
1552123270,21501,32440,8067,13968,65141,7030,2359695,0,0,0,0,0,0,0,0,0,0,20687,20812,17049,53482,4294966940,56000,65102,0,0,0,0,0,0,0,0,0,0,0,0,21125,20000,17349,21562,9443,9413,-34,-29,-37,-3897,-34,-545,0,0,0,360,32647,500,12015,454,5017,636,3302,340,3271,0,1,0,1,95,6,232,17
1552123275,21527,32447,8060,13968,65270,7031,2364357,0,0,0,0,0,0,0,0,0,0,20750,20812,17059,53479,4294966941,56076,65129,0,0,0,0,0,0,0,0,0,0,0,0,21187,20062,17349,21625,9442,9414,-36,-34,-41,-3905,-12,-517,0,0,0,320,32600,483,12013,303,5017,681,3303,320,3272,0,1,0,0,95,7,232,17
1552123281,21545,32439,8064,13904,65131,7031,2369757,0,0,0,0,0,0,0,0,0,0,20750,20812,17067,53471,4294966942,56152,65039,0,0,0,0,0,0,0,0,0,0,0,0,21187,20000,17349,21625,9443,9414,-32,-36,-44,-3893,-26,-558,0,0,0,320,32542,483,12013,575,5026,409,3305,50,3296,0,0,0,1,95,7,232,16
1552123287,21579,32474,8036,13884,65152,7030,2377567,0,0,0,0,0,0,0,0,0,0,20750,20812,17077,53467,4294966944,55872,65097,0,0,0,0,0,0,0,0,0,0,0,0,21187,20062,17381,21625,9441,9414,-32,-30,-40,-3903,-30,-561,0,0,0,320,32503,500,12013,424,5017,454,3306,50,3293,0,0,0,1,95,7,232,17
1552123292,21605,32430,8065,13868,65177,7031,2382805,0,0,0,0,0,0,0,0,0,0,20750,20875,17085,53485,4294966939,56052,65139,0,0,0,0,0,0,0,0,0,0,0,0,21250,20062,17392,21687,9441,9415,-25,-33,-43,-3909,-27,-573,0,0,0,360,32452,483,12013,575,5013,636,3305,310,3275,0,0,0,1,95,8,232,16
1552123297,21623,32434,8060,13944,65246,7030,2388040,0,0,0,0,0,0,0,0,0,0,20812,20875,17090,53478,4294966941,55972,65077,0,0,0,0,0,0,0,0,0,0,0,0,21250,20062,17414,21687,9440,9418,-31,-27,-41,-3924,-24,-575,0,0,0,320,32430,483,12013,272,5007,636,3303,320,3275,0,0,0,1,95,6,232,16
1552123303,21659,32451,8046,13904,65289,7030,2396276,0,0,0,0,0,0,0,0,0,0,20812,20875,17109,53484,4294966940,55856,65121,0,0,0,0,0,0,0,0,0,0,0,0,21312,20125,17414,21687,9442,9418,-36,-30,-44,-3925,-17,-555,0,0,0,320,32072,500,12013,454,5025,409,3307,50,3296,0,0,0,1,95,6,232,18
1552123308,21677,32440,8052,13792,65172,7030,2399371,0,0,0,0,0,0,0,0,0,0,20812,20875,17106,53471,4294966943,55876,65128,0,0,0,0,0,0,0,0,0,0,0,0,21312,20125,17424,21687,9443,9417,-33,-29,-45,-3914,-27,-577,0,0,0,360,32001,500,12013,515,5018,409,3306,50,3296,0,1,0,0,95,7,232,16
1552123313,21706,32448,8044,13728,65134,7030,2405283,0,0,0,0,0,0,0,0,0,0,20812,20875,17114,53486,4294966939,55868,65079,0,0,0,0,0,0,0,0,0,0,0,0,21312,20125,17424,21750,9442,9418,-31,-30,-38,-3910,-14,-556,0,0,0,280,31953,483,12013,424,5016,409,3307,50,3296,0,0,0,2,95,6,232,16
1552123318,21722,32455,8037,13872,65205,7030,2408881,0,0,0,0,0,0,0,0,0,0,20812,20937,17127,53472,4294966942,56004,65112,0,0,0,0,0,0,0,0,0,0,0,0,21312,20125,17456,21687,9443,9418,-36,-32,-46,-3933,-27,-545,0,0,0,360,31880,483,12012,545,5018,681,3302,330,3272,0,0,0,1,95,7,232,17
1552123323,21753,32421,8059,13840,65184,7030,2414939,0,0,0,0,0,0,0,0,0,0,20812,20937,17127,53473,4294966942,55780,65019,0,0,0,0,0,0,0,0,0,0,0,0,21375,20187,17456,21750,9442,9418,-34,-27,-45,-3927,-45,-552,0,0,0,320,31788,500,12013,424,5013,363,3307,50,3297,0,0,0,0,95,6,232,18
1552123328,21771,32435,8047,13764,65173,7030,2418295,0,0,0,0,0,0,0,0,0,0,20875,20937,17142,53486,4294966939,55704,65077,0,0,0,0,0,0,0,0,0,0,0,0,21375,20187,17478,21750,9443,9418,-34,-25,-40,-3909,-39,-546,0,0,0,320,31731,483,12013,454,5015,409,3307,50,3295,0,2,0,1,95,6,232,16
1552123333,21794,32468,8023,13840,65251,7030,2423635,0,0,0,0,0,0,0,0,0,0,20875,20937,17150,53479,4294966941,55712,65055,0,0,0,0,0,0,0,0,0,0,0,0,21375,20187,17478,21750,9443,9419,-31,-27,-37,-3912,-37,-556,0,0,0,360,31676,483,12013,363,5016,636,3303,310,3277,0,1,0,1,95,6,232,17
1552123339,21812,32443,8038,13860,65226,7030,2425966,0,0,0,0,0,0,0,0,0,0,20875,21000,17158,53472,4294966942,55616,65079,0,0,0,0,0,0,0,0,0,0,0,0,21437,20250,17478,21812,9443,9421,-26,-32,-43,-3911,-46,-536,0,0,0,360,31620,483,12012,393,5001,681,3303,370,3271,0,0,0,0,95,6,232,18
1552123344,21844,32441,8037,13768,65197,7031,2431667,0,0,0,0,0,0,0,0,0,0,20937,21000,17153,53464,4294966944,55492,65136,0,0,0,0,0,0,0,0,0,0,0,0,21437,20250,17499,21812,9442,9420,-35,-35,-44,-3910,-38,-533,0,0,0,320,31592,483,12012,424,5015,409,3308,50,3296,0,0,0,1,95,7,232,16
1552123349,21867,32444,8032,13832,65147,7030,2434861,0,0,0,0,0,0,0,0,0,0,20937,21000,17174,53478,4294966941,55564,65103,0,0,0,0,0,0,0,0,0,0,0,0,21437,20250,17499,21875,9442,9420,-34,-33,-40,-3907,-25,-535,0,0,0,320,31547,483,12012,454,5015,409,3307,50,3296,0,1,0,1,95,6,232,18
1552123356,21893,32461,8019,13736,65128,7030,2441938,0,0,0,0,0,0,0,0,0,0,20937,21000,17176,53480,4294966940,55492,65225,0,0,0,0,0,0,0,0,0,0,0,0,21437,20312,17521,21875,9445,9422,-32,-26,-47,-3922,-39,-530,0,0,0,320,31496,483,12012,424,5018,409,3308,50,3298,0,0,0,1,95,6,232,17
1552123361,21914,32466,8013,13692,65204,7030,2445718,0,0,0,0,0,0,0,0,0,0,20937,21000,17186,53474,4294966942,55472,65171,0,0,0,0,0,0,0,0,0,0,0,0,21437,20312,17510,21875,9442,9422,-30,-29,-44,-3907,10,-528,0,0,0,320,31457,483,12013,393,5026,363,3308,50,3297,0,1,0,1,95,6,232,18
1552123367,21942,32466,8011,13796,65203,7031,2451049,0,0,0,0,0,0,0,0,0,0,20937,21062,17192,53471,4294966943,55580,65133,0,0,0,0,0,0,0,0,0,0,0,0,21500,20312,17542,21875,9443,9421,-29,-27,-42,-3911,-18,-521,0,0,0,360,31411,483,12013,272,5020,681,3301,320,3275,0,1,0,1,95,7,232,16
