timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552123130,20844,32471,8101,14348,65262,7031,2119137,0,0,0,0,0,0,0,0,0,0,20187,20312,16849,53485,4294966939,57216,65203,0,0,0,0,0,0,0,0,0,0,0,0,20625,19562,17039,21062,9441,9401,-31,-35,-36,-3909,-51,-530,0,0,0,400,29376,483,12012,454,5012,681,3302,340,3275,0,0,0,1,95,6,232,17
1552123135,20862,32470,8100,14308,65232,7031,2132790,0,0,0,0,0,0,0,0,0,0,20250,20312,16857,53500,4294966936,56848,65245,0,0,0,0,0,0,0,0,0,0,0,0,20687,19562,17050,21062,9438,9403,-40,-28,-37,-3918,-23,-539,0,0,0,360,29380,483,12011,272,5021,590,3305,310,3278,0,0,0,1,95,7,232,17
1552123141,20893,32486,8086,14456,65247,7031,2147267,0,0,0,0,0,0,0,0,0,0,20250,20375,16870,53493,4294966937,56920,65172,0,0,0,0,0,0,0,0,0,0,0,0,20687,19562,17050,21125,9440,9403,-31,-28,-44,-3937,-41,-558,0,0,0,360,29376,500,12013,515,5015,409,3308,50,3297,0,1,0,0,95,7,232,17
1552123146,20924,32498,8075,14312,65244,7031,2158351,0,0,0,0,0,0,0,0,0,0,20250,20375,16872,53478,4294966941,57012,65289,0,0,0,0,0,0,0,0,0,0,0,0,20687,19625,17071,21125,9441,9405,-28,-36,-42,-3904,-20,-520,0,0,0,320,29387,516,12012,303,5016,409,3307,50,3297,0,0,0,1,95,7,232,17
1552123151,20955,32447,8108,14340,65240,7031,2167985,0,0,0,0,0,0,0,0,0,0,20312,20437,16883,53489,4294966938,57060,65075,0,0,0,0,0,0,0,0,0,0,0,0,20750,19625,17082,21187,9440,9405,-30,-31,-42,-3905,-9,-547,0,0,0,400,29366,500,12013,454,5017,727,3303,320,3275,0,0,0,0,95,6,232,16
1552123157,20981,32444,8108,14228,65036,7031,2184424,0,0,0,0,0,0,0,0,0,0,20312,20437,16896,53482,4294966940,56864,65121,0,0,0,0,0,0,0,0,0,0,0,0,20750,19625,17114,21187,9444,9405,-31,-32,-42,-3876,-43,-563,0,0,0,400,29365,483,12012,515,5017,681,3305,320,3276,0,0,0,1,95,6,232,17
1552123164,21028,32467,8088,14192,65279,7031,2197629,0,0,0,0,0,0,0,0,0,0,20375,20437,16901,53486,4294966939,56932,65037,0,0,0,0,0,0,0,0,0,0,0,0,20812,19687,17114,21187,9441,9408,-31,-30,-43,-3907,-33,-525,0,0,0,360,29390,500,12013,303,5016,681,3303,340,3276,0,1,0,0,95,7,232,16
1552123169,21051,32434,8109,14228,65189,7031,2207657,0,0,0,0,0,0,0,0,0,0,20375,20437,16914,53484,4294966939,56756,64992,0,0,0,0,0,0,0,0,0,0,0,0,20812,19687,17125,21250,9439,9407,-32,-33,-43,-3908,-20,-539,0,0,0,400,29375,483,12013,484,5018,681,3301,350,3271,0,0,0,1,95,7,232,18
1552123174,21067,32452,8095,14232,65221,7031,2216830,0,0,0,0,0,0,0,0,0,0,20375,20500,16919,53492,4294966937,56808,65115,0,0,0,0,0,0,0,0,0,0,0,0,20812,19687,17135,21250,9443,9404,-32,-33,-45,-3929,-24,-551,0,0,0,320,29386,516,12013,333,5017,409,3307,50,3296,0,0,0,1,95,7,232,17
1552123180,21106,32425,8112,14160,65175,7031,2227952,0,0,0,0,0,0,0,0,0,0,20375,20500,16929,53487,4294966939,56752,65192,0,0,0,0,0,0,0,0,0,0,0,0,20812,19750,17157,21250,9443,9406,-35,-27,-43,-3921,4,-531,0,0,0,320,29382,516,12013,272,5017,363,3308,50,3297,0,0,0,1,95,7,232,17
