timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552123372,21966,32434,8032,13692,65325,7030,2453110,0,0,0,0,0,0,0,0,0,0,20937,21062,17199,53484,4294966940,55452,65075,0,0,0,0,0,0,0,0,0,0,0,0,21500,20312,17553,21875,9444,9422,-37,-32,-42,-3923,-22,-552,0,0,0,320,31383,483,12013,363,5015,409,3307,50,3297,0,0,0,1,95,6,232,17
1552123377,21992,32459,8012,13772,65151,7030,2457075,0,0,0,0,0,0,0,0,0,0,21000,21062,17210,53473,4294966942,55348,65103,0,0,0,0,0,0,0,0,0,0,0,0,21500,20312,17553,21937,9442,9422,-33,-32,-46,-3936,-36,-577,0,0,0,320,31348,500,12013,393,5012,409,3307,50,3297,0,0,0,1,95,7,232,16
1552123382,21997,32472,8003,13808,65103,7030,2458978,0,0,0,0,0,0,0,0,0,0,21000,21125,17212,53487,4294966939,55344,65122,0,0,0,0,0,0,0,0,0,0,0,0,21562,20375,17542,21937,9444,9424,-32,-29,-47,-3901,-35,-551,0,0,0,320,31321,483,12012,303,5017,363,3310,50,3298,0,0,0,1,95,7,232,16
1552123387,22028,32467,8004,13732,65105,7031,2462581,0,0,0,0,0,0,0,0,0,0,21062,21125,17220,53480,4294966940,55536,65115,0,0,0,0,0,0,0,0,0,0,0,0,21562,20375,17585,21937,9441,9427,-37,-30,-41,-3909,-29,-575,0,0,0,360,31275,483,12012,393,5016,681,3303,350,3275,0,1,0,1,95,6,232,18
1552123392,22051,32449,8015,13732,65149,7030,2466327,0,0,0,0,0,0,0,0,0,0,21000,21125,17228,53485,4294966939,55432,65102,0,0,0,0,0,0,0,0,0,0,0,0,21562,20375,17574,21937,9442,9424,-35,-31,-41,-3939,-45,-542,0,0,0,360,31242,483,12012,363,5016,727,3302,310,3273,0,0,0,0,95,6,232,17
1552123398,22090,32441,8017,13712,65205,7030,2470411,0,0,0,0,0,0,0,0,0,0,21062,21125,17241,53467,4294966944,55364,65064,0,0,0,0,0,0,0,0,0,0,0,0,21625,20437,17574,22000,9442,9424,-31,-31,-43,-3904,-12,-554,0,0,0,360,31215,483,12011,303,5018,681,3302,370,3273,0,0,0,0,95,5,232,17
1552123403,22106,32475,7992,13792,65160,7030,2471641,0,0,0,0,0,0,0,0,0,0,21062,21125,17254,53481,4294966940,55412,65096,0,0,0,0,0,0,0,0,0,0,0,0,21625,20437,17595,22000,9444,9428,-32,-35,-41,-3936,-34,-562,0,0,0,320,31191,500,12012,272,5023,590,3305,310,3278,0,1,0,1,95,7,232,16
1552123408,22124,32455,8003,13772,65159,7030,2475701,0,0,0,0,0,0,0,0,0,0,21062,21187,17257,53474,4294966942,55316,65114,0,0,0,0,0,0,0,0,0,0,0,0,21625,20437,17606,22000,9443,9425,-32,-35,-40,-3915,-57,-549,0,0,0,360,31148,516,12011,363,5013,772,3301,340,3272,0,0,0,1,95,7,232,17
1552123413,22161,32438,8013,13732,65096,7031,2477203,0,0,0,0,0,0,0,0,0,0,21125,21187,17262,53472,4294966942,55280,65125,0,0,0,0,0,0,0,0,0,0,0,0,21625,20437,17606,22000,9442,9426,-36,-31,-39,-3931,15,-567,0,0,0,320,31136,483,12012,484,5017,409,3307,50,3297,0,0,0,1,95,6,232,17
1552123418,22168,32449,8004,13708,65153,7031,2479858,0,0,0,0,0,0,0,0,0,0,21125,21187,17267,53459,4294966945,55168,65062,0,0,0,0,0,0,0,0,0,0,0,0,21625,20437,17638,22000,9444,9426,-39,-32,-44,-3906,-36,-556,0,0,0,360,31107,516,12011,454,5016,409,3308,50,3297,0,0,0,1,95,8,232,17
