timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552123612,22976,32487,7910,13624,65128,7032,2365095,0,0,0,0,0,0,0,0,0,0,21562,21687,17563,53470,4294966943,54564,65163,0,0,0,0,0,0,0,0,0,0,0,0,22187,21000,17938,22562,9444,9444,-30,-32,-46,-3915,-35,-549,0,0,0,320,30397,483,12010,333,5016,363,3308,50,3297,0,0,0,1,95,6,232,17
1552123618,23005,32474,7917,13668,65046,7032,2353647,0,0,0,0,0,0,0,0,0,0,21562,21687,17576,53483,4294966940,54392,65098,0,0,0,0,0,0,0,0,0,0,0,0,22250,21000,17927,22562,9443,9443,-36,-25,-43,-3897,-32,-551,0,0,0,400,30363,483,12010,515,5020,681,3302,330,3273,0,0,0,1,95,7,232,17
1552123624,23031,32532,7875,13612,65149,7032,2342445,0,0,0,0,0,0,0,0,0,0,21562,21687,17587,53467,4294966943,54448,65124,0,0,0,0,0,0,0,0,0,0,0,0,22250,21062,17959,22625,9444,9444,-37,-32,-44,-3877,-34,-519,0,0,0,320,30363,483,12011,333,5018,409,3307,50,3295,0,0,0,1,95,5,232,17
1552123629,23057,32510,7889,13640,65186,7032,2334955,0,0,0,0,0,0,0,0,0,0,21625,21687,17607,53468,4294966943,54328,65002,0,0,0,0,0,0,0,0,0,0,0,0,22312,21062,17980,22625,9445,9446,-32,-30,-40,-3900,-27,-559,0,0,0,360,30336,516,12011,454,5017,409,3307,50,3297,0,0,0,1,95,6,232,16
1552123635,23077,32527,7874,13664,65234,7055,2250795,0,0,0,0,0,0,0,0,0,0,21625,21750,17612,53468,4294966943,54300,65020,0,0,0,0,0,0,0,0,0,0,0,0,22312,21062,17980,22625,9444,9444,-36,-34,-44,-3905,-19,-539,0,0,0,360,30311,483,12011,393,5016,727,3305,320,3271,0,0,0,1,95,7,232,17
1552123640,23101,32507,7887,13668,65072,7055,2240901,0,0,0,0,0,0,0,0,0,0,21625,21750,17620,53467,4294966943,54340,65015,0,0,0,0,0,0,0,0,0,0,0,0,22312,21062,17980,22687,9442,9445,-30,-33,-42,-3927,-38,-546,0,0,0,360,30302,516,12011,515,5022,409,3310,50,3297,0,0,0,1,95,6,232,17
1552123646,23127,32525,7872,13688,65019,7056,2230692,0,0,0,0,0,0,0,0,0,0,21687,21750,17623,53475,4294966941,54360,65007,0,0,0,0,0,0,0,0,0,0,0,0,22312,21062,18002,22687,9444,9449,-34,-23,-40,-3914,-33,-567,0,0,0,400,30283,516,12010,484,5020,681,3303,350,3272,0,1,0,1,95,7,232,17
1552123651,23145,32528,7868,13576,65034,7055,2223898,0,0,0,0,0,0,0,0,0,0,21625,21750,17636,53469,4294966943,54176,65049,0,0,0,0,0,0,0,0,0,0,0,0,22312,21125,18013,22687,9444,9447,-37,-30,-48,-3925,-36,-533,0,0,0,320,30291,483,12012,424,5021,363,3308,50,3297,0,0,0,1,95,6,232,18
1552123656,23168,32501,7886,13736,65093,7055,2213964,0,0,0,0,0,0,0,0,0,0,21687,21750,17641,53473,4294966942,54192,65046,0,0,0,0,0,0,0,0,0,0,0,0,22375,21125,18002,22687,9444,9445,-39,-30,-42,-3912,-52,-549,0,0,0,400,30263,516,12010,424,5023,772,3302,330,3272,0,1,0,1,95,6,232,17
1552123662,23194,32510,7877,13680,65001,7055,2204370,0,0,0,0,0,0,0,0,0,0,21687,21812,17649,53471,4294966942,54348,65064,0,0,0,0,0,0,0,0,0,0,0,0,22375,21125,18023,22687,9445,9447,-38,-27,-45,-3931,-28,-517,0,0,0,400,30255,516,12011,454,5025,681,3302,320,3275,0,0,0,1,95,8,232,17
1552123667,23202,32506,7879,13704,65126,7056,2200017,0,0,0,0,0,0,0,0,0,0,21687,21812,17651,53474,4294966942,54324,65140,0,0,0,0,0,0,0,0,0,0,0,0,22375,21125,18013,22687,9446,9448,-37,-34,-45,-3925,-26,-513,0,0,0,320,30260,483,12011,363,5003,409,3307,50,3296,0,0,0,0,95,6,232,17
1552123672,23220,32520,7867,13664,65138,7055,2184999,0,0,0,0,0,0,0,0,0,0,21687,21812,17659,53461,4294966945,54256,65109,0,0,0,0,0,0,0,0,0,0,0,0,22375,21187,18013,22750,9444,9449,-34,-28,-43,-3904,-25,-559,0,0,0,360,30230,516,12011,303,5007,681,3302,330,3272,0,1,0,1,95,6,232,17
1552123678,23236,32524,7865,13680,65095,7056,2182002,0,0,0,0,0,0,0,0,0,0,21750,21812,17664,53460,4294966945,54176,64946,0,0,0,0,0,0,0,0,0,0,0,0,22437,21187,18013,22750,9445,9450,-33,-28,-46,-3923,-36,-528,0,0,0,360,30221,516,12010,484,5010,409,3306,50,3296,0,0,0,1,95,7,232,17
1552123683,23257,32526,7861,13680,64967,7056,2168450,0,0,0,0,0,0,0,0,0,0,21750,21812,17672,53468,4294966943,54188,65106,0,0,0,0,0,0,0,0,0,0,0,0,22437,21187,18045,22750,9443,9448,-37,-26,-44,-3924,-22,-556,0,0,0,360,30212,483,12011,363,5020,681,3306,360,3272,0,1,0,2,95,7,232,17
1552123688,23264,32525,7861,13688,65177,7056,2165750,0,0,0,0,0,0,0,0,0,0,21750,21875,17672,53467,4294966943,54156,65111,0,0,0,0,0,0,0,0,0,0,0,0,22437,21187,18055,22750,9441,9450,-35,-27,-38,-3919,-12,-541,0,0,0,360,30197,516,12011,333,5017,681,3301,330,3276,0,0,0,1,95,6,232,17
1552123693,23277,32518,7865,13740,65196,7056,2158006,0,0,0,0,0,0,0,0,0,0,21750,21875,17683,53478,4294966941,54260,65003,0,0,0,0,0,0,0,0,0,0,0,0,22437,21187,18055,22812,9444,9451,-31,-30,-44,-3905,-19,-499,0,0,0,360,30195,500,12011,303,5017,636,3305,310,3276,0,1,0,1,95,5,232,16
1552123698,23296,32531,7854,13692,65082,7056,2149891,0,0,0,0,0,0,0,0,0,0,21750,21875,17688,53471,4294966942,54140,65111,0,0,0,0,0,0,0,0,0,0,0,0,22437,21250,18077,22812,9445,9449,-33,-23,-36,-3925,-42,-577,0,0,0,400,30173,516,12011,484,5026,727,3302,360,3275,0,0,0,1,95,7,232,16
1552123704,23309,32517,7862,13664,65157,7056,2140891,0,0,0,0,0,0,0,0,0,0,21750,21875,17690,53468,4294966943,54176,65198,0,0,0,0,0,0,0,0,0,0,0,0,22500,21250,18098,22812,9445,9451,-32,-34,-42,-3922,-29,-511,0,0,0,360,30167,516,12008,484,5017,409,3307,50,3296,0,1,0,1,95,7,232,16
1552123709,23327,32518,7860,13728,65016,7056,2131952,0,0,0,0,0,0,0,0,0,0,21812,21875,17701,53463,4294966944,54140,65138,0,0,0,0,0,0,0,0,0,0,0,0,22500,21250,18087,22875,9445,9451,-35,-31,-46,-3922,-22,-541,0,0,0,360,30160,483,12010,545,4998,636,3303,320,3276,0,0,0,1,95,6,232,17
1552123716,23368,32533,7847,13608,65181,7056,2125064,0,0,0,0,0,0,0,0,0,0,21812,21937,17714,53471,4294966942,54108,65081,0,0,0,0,0,0,0,0,0,0,0,0,22500,21250,18109,22875,9441,9451,-37,-29,-42,-3901,-20,-563,0,0,0,400,30132,516,12011,454,5016,681,3305,320,3276,0,1,0,0,95,6,232,17
1552123721,23392,32543,7838,13708,65070,7056,2118270,0,0,0,0,0,0,0,0,0,0,21812,21937,17724,53464,4294966944,54044,65087,0,0,0,0,0,0,0,0,0,0,0,0,22500,21250,18098,22875,9446,9454,-34,-25,-44,-3891,-25,-525,0,0,0,400,30122,483,12010,636,5018,681,3305,340,3277,0,0,0,1,95,6,232,17
1552123726,23412,32519,7853,13764,65084,7056,2115910,0,0,0,0,0,0,0,0,0,0,21812,21937,17732,53471,4294966942,54064,65169,0,0,0,0,0,0,0,0,0,0,0,0,22500,21312,18109,22875,9442,9452,-27,-28,-37,-3909,-13,-525,0,0,0,400,30113,516,12011,363,5011,727,3302,310,3275,0,1,0,1,95,5,232,17
