timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552123970,24381,32673,7672,14021,65215,7058,2076303,0,0,0,0,0,0,0,0,0,0,22312,22437,18114,53464,4294966944,53016,65219,0,0,0,0,0,0,0,0,0,0,0,0,23125,21875,18462,23437,9445,9473,-37,-27,-43,-3935,-28,-545,0,0,0,320,29758,483,12008,303,5021,409,3308,50,3297,0,0,0,1,95,7,232,17
1552123975,24397,32672,7670,14133,65229,7058,2075041,0,0,0,0,0,0,0,0,0,0,22312,22437,18122,53466,4294966944,52932,65073,0,0,0,0,0,0,0,0,0,0,0,0,23125,21937,18494,23437,9444,9474,-36,-31,-41,-3928,-37,-512,0,0,0,360,29742,500,12010,484,5020,409,3308,50,3297,0,0,0,2,95,7,232,17
1552123981,24420,32681,7663,14042,65144,7059,2072627,0,0,0,0,0,0,0,0,0,0,22312,22500,18137,53450,4294966947,53088,65215,0,0,0,0,0,0,0,0,0,0,0,0,23125,21937,18494,23437,9442,9474,-36,-30,-46,-3915,-59,-558,0,0,0,320,29742,483,12008,333,5021,409,3308,50,3296,0,0,0,1,95,7,232,18
1552123986,24433,32695,7652,14074,65116,7058,2072125,0,0,0,0,0,0,0,0,0,0,22312,22500,18140,53460,4294966945,52860,65032,0,0,0,0,0,0,0,0,0,0,0,0,23187,21937,18494,23500,9441,9472,-36,-30,-43,-3885,-25,-519,0,0,0,360,29720,500,12008,303,5015,727,3303,350,3273,0,0,0,1,95,7,232,16
1552123991,24454,32687,7656,14114,65122,7058,2071003,0,0,0,0,0,0,0,0,0,0,22375,22500,18148,53461,4294966945,52876,65125,0,0,0,0,0,0,0,0,0,0,0,0,23187,21937,18494,23500,9444,9473,-37,-31,-43,-3936,-30,-528,0,0,0,320,29726,483,12008,363,5017,409,3307,50,3296,0,0,0,0,95,7,232,16
1552123996,24477,32700,7646,14038,65212,7059,2069144,0,0,0,0,0,0,0,0,0,0,22375,22500,18163,53453,4294966947,52764,65049,0,0,0,0,0,0,0,0,0,0,0,0,23187,22000,18515,23500,9443,9475,-35,-26,-44,-3930,-43,-563,0,0,0,400,29706,483,12008,424,5017,681,3302,330,3276,0,1,0,1,95,6,232,17
1552124001,24498,32708,7639,14078,65237,7058,2069161,0,0,0,0,0,0,0,0,0,0,22375,22500,18163,53449,4294966948,52884,65112,0,0,0,0,0,0,0,0,0,0,0,0,23250,22000,18515,23500,9444,9474,-33,-24,-43,-3953,-27,-538,0,0,0,320,29720,483,12008,242,5020,363,3308,50,3298,0,0,0,1,95,6,232,17
1552124007,24522,32695,7645,14078,65206,7059,2068784,0,0,0,0,0,0,0,0,0,0,22375,22500,18176,53470,4294966943,52760,65168,0,0,0,0,0,0,0,0,0,0,0,0,23250,22000,18537,23500,9443,9473,-32,-31,-45,-3931,-38,-551,0,0,0,360,29695,483,12008,393,5018,636,3303,310,3277,0,0,0,2,95,7,232,17
1552124012,24527,32690,7648,14078,65139,7059,2067645,0,0,0,0,0,0,0,0,0,0,22375,22562,18181,53458,4294966946,52744,65196,0,0,0,0,0,0,0,0,0,0,0,0,23250,22000,18547,23562,9443,9475,-34,-33,-40,-3933,-26,-541,0,0,0,320,29700,483,12008,363,5020,409,3307,50,3296,0,0,0,1,95,7,232,17
1552124017,24550,32702,7638,14138,65150,7059,2066350,0,0,0,0,0,0,0,0,0,0,22437,22562,18184,53454,4294966946,52792,65192,0,0,0,0,0,0,0,0,0,0,0,0,23250,22000,18537,23562,9443,9474,-34,-32,-36,-3928,-34,-534,0,0,0,400,29677,483,12008,424,5010,681,3307,340,3278,0,0,0,2,95,7,232,17
