timeStamp,Exp0_OxygenTemp,Exp0_Oxygendphi,Exp0_OxygenpercentO2,Exp0_OxygensingelIntensity,Exp0_OxygenAmbientLight,Exp0_PhValue,Exp0_PresensO2value,Exp0_PH calTemp,Exp0_PH Ref Amplitude,Exp0_PH Amplitude,Exp0_PH Phase shift,Exp0_PH calibration Pressure,Exp0_Presens 02 Ref Amp,Exp0_Presens 02 Amp,Exp0_Presens 02 Phase,Exp0_Presens 02 cal Temp,Exp0_Presens errorcode,Exp0_TempPump,Exp0_TempCamera,Exp1_OxygenTemp,Exp1_Oxygendphi,Exp1_OxygenpercentO2,Exp1_OxygensingelIntensity,Exp1_OxygenAmbientLight,Exp1_PhValue,Exp1_PresensO2value,Exp1_PH calTemp,Exp1_PH Ref Amplitude,Exp1_PH Amplitude,Exp1_PH Phase shift,Exp1_PH calibration Pressure,Exp1_Presens 02 Ref Amp,Exp1_Presens 02 Amp,Exp1_Presens 02 Phase,Exp1_Presens 02 cal Temp,Exp1_Presens errorcode,Exp1_TempPump,Exp1_TempCamera,Temp_airHighPresision,Temp_Heater,Pressure_Electronics,Pressure_LateAccess,Imu_gyroX,Imu_gyroY,Imu_gyroZ,Imu_accelegrationX,Imu_accelegrationY,Imu_accelegrationZ,Imu_orientationX,Imu_orientationY,Imu_orientationZ,36V current,36V voltage,12V current,12V voltage,5V current,5V voltage,3V current,3V voltage,ssd current,ssd voltage,pump0 current,pump0 voltage,pump1 current,pump1 voltage,flowCellLed0 current,flowCellLed0 voltage,flowCellLed1 current,flowCellLed1 voltage 
 1552123492,22475,32426,7994,13664,65086,7031,2490951,0,0,0,0,0,0,0,0,0,0,21250,21375,17379,53482,4294966940,54908,65187,0,0,0,0,0,0,0,0,0,0,0,0,21875,20687,17745,22250,9444,9435,-31,-26,-40,-3916,-23,-532,0,0,0,320,30791,483,12011,363,5021,454,3306,50,3293,0,0,0,0,95,6,232,17
1552123498,22509,32473,7960,13632,65296,7031,2489293,0,0,0,0,0,0,0,0,0,0,21312,21375,17402,53474,4294966942,55032,65013,0,0,0,0,0,0,0,0,0,0,0,0,21875,20687,17777,22250,9444,9435,-33,-31,-42,-3899,-33,-540,0,0,0,360,30758,483,12011,393,5022,681,3303,320,3276,0,0,0,1,95,7,232,17
1552123503,22514,32469,7961,13608,65192,7031,2488236,0,0,0,0,0,0,0,0,0,0,21312,21375,17397,53470,4294966943,54888,65010,0,0,0,0,0,0,0,0,0,0,0,0,21937,20687,17756,22312,9442,9433,-32,-32,-51,-3918,-20,-531,0,0,0,360,30742,483,12011,303,5012,636,3302,330,3276,0,0,0,1,95,7,232,17
1552123509,22548,32484,7948,13668,65129,7031,2485572,0,0,0,0,0,0,0,0,0,0,21312,21437,17410,53473,4294966942,54904,65099,0,0,0,0,0,0,0,0,0,0,0,0,21937,20687,17788,22312,9442,9435,-36,-31,-42,-3912,-53,-536,0,0,0,360,30720,483,12011,545,5017,409,3308,50,3296,0,1,0,2,95,7,232,17
1552123514,22563,32505,7932,13648,65120,7031,2484681,0,0,0,0,0,0,0,0,0,0,21375,21437,17418,53474,4294966942,54928,65060,0,0,0,0,0,0,0,0,0,0,0,0,21937,20750,17799,22312,9444,9433,-39,-32,-45,-3906,-12,-539,0,0,0,320,30715,500,12012,424,5017,409,3307,50,3298,0,1,0,0,95,5,232,17
1552123520,22599,32505,7930,13656,65139,7031,2481915,0,0,0,0,0,0,0,0,0,0,21375,21437,17433,53467,4294966943,54724,65158,0,0,0,0,0,0,0,0,0,0,0,0,21937,20750,17788,22312,9442,9435,-31,-31,-41,-3908,-15,-537,0,0,0,360,30682,483,12012,303,5020,681,3303,340,3273,0,0,0,1,95,6,232,17
1552123525,22612,32464,7956,13600,65281,7031,2478351,0,0,0,0,0,0,0,0,0,0,21375,21437,17444,53481,4294966940,54772,65105,0,0,0,0,0,0,0,0,0,0,0,0,21937,20750,17820,22312,9446,9437,-31,-32,-39,-3911,-25,-525,0,0,0,360,30667,483,12011,303,5018,636,3305,310,3277,0,1,0,2,95,7,232,17
1552123532,22654,32477,7944,13568,65150,7031,2471913,0,0,0,0,0,0,0,0,0,0,21375,21500,17454,53471,4294966942,54812,65095,0,0,0,0,0,0,0,0,0,0,0,0,21937,20750,17799,22375,9444,9438,-33,-36,-45,-3884,-9,-554,0,0,0,360,30638,483,12012,484,5016,681,3301,350,3275,0,0,0,1,95,6,232,17
1552123538,22685,32500,7926,13584,65205,7031,2466597,0,0,0,0,0,0,0,0,0,0,21375,21500,17459,53475,4294966941,54756,65093,0,0,0,0,0,0,0,0,0,0,0,0,22000,20812,17831,22375,9445,9437,-34,-30,-40,-3925,-47,-546,0,0,0,320,30632,483,12011,363,5025,363,3308,50,3296,0,0,0,1,95,6,232,17
1552123543,22690,32482,7937,13660,65171,7031,2461944,0,0,0,0,0,0,0,0,0,0,21437,21500,17467,53483,4294966940,54696,65169,0,0,0,0,0,0,0,0,0,0,0,0,22000,20812,17831,22375,9444,9439,-32,-36,-42,-3907,-38,-561,0,0,0,360,30613,483,12012,424,5006,454,3307,50,3295,0,0,0,1,95,7,232,16
